,Op.,title,subtitle,key,dates of composition,publication year
192,,17 Chants Polonais No.14 The Ring,,E flat major,1855,1831
193,,17 Chants Polonais No.15 The Bridegroom's return,,C minor,1855,1831
194,,17 Chants Polonais No.16 Lithuanian Song,,F major,1855,1831
195,,17 Chants Polonais No.17 Poland's Dirge,,E flat minor,1855,1831
196,Ⅱa-1,Polonaise,,G minor,1817,1817
197,Ⅱa-2,Mazurka,,G major,1826,1826
198,Ⅱa-3,Mazurka,,B flat major,1826,1826
199,Ⅱb-1,Grand Duo on themes from Meyerbeer's Robert le diable,,E major,1831,1833
200,Ⅱb-2,Hexameron Variations No.6,,E major,1837,1839
201,Ⅱb-3-1,Etude No.1,,F minor,1839-1840,1840
202,Ⅱb-3-2,Etude No.2,,A flat major,1839-1840,1840
203,Ⅱb-3-3,Etude No.3,,D flat major,1839-1840,1840
204,Ⅱb-4,Mazurka,Notre temps,A minor,1841,1841
205,Ⅱb-5,Mazurka,,A minor,1840,1840
206,Ⅳa-1,Polonaise,,B flat major,1817,1947
207,Ⅳa-2,Polonaise,,A flat major,1821,1902
208,Ⅳa-3,Polonaise,,G sharp minor,1822,1864
209,Ⅳa-4,Variations sur un air national allemand,,E major,1824,1851
210,Ⅳa-5,Polonaise,,B flat minor,1826,1879
211,Ⅳa-6,Variations on a theme of Moore,,D major,1826,1965
212,Ⅳa-7,Mazurka,,D major,1829,1875
213,Ⅳa-8,Polonaise,,G flat major,1829,1870
214,Ⅳa-9,Chant,Which Flowers,G major,1829,1856
215,Ⅳa-10,Variations,Souvenir de Paganini,A major,1829,1881
216,Ⅳa-11,Chant,Witchcraft,D minor,1830,1954
217,Ⅳa-12,Waltz ,,E major,1829,1871
218,Ⅳa-13,Waltz ,,A flat major,1830,1902
219,Ⅳa-14,Waltz ,,E flat major,1830,1902
220,Ⅳa-15,Waltz ,,E minor,1830,1868
221,Ⅳa-16,Nocturne,Lento con gran espressione ,C sharp minor,1830,1875
222,Ⅳb-1,Mazurka,,B flat major,1832,1909
223,Ⅳb-2,Mazurka,,D major,1832,1875
224,Ⅳb-3,Mazurka,,C major,1833,1870
225,Ⅳb-4,Mazurka,,A flat major,1834,1930
226,Ⅳb-5,Largo,,E flat major,1847,1938
227,Ⅳb-6,Cantabile,,B flat major,1834,1931
228,Ⅳb-7,Prelude No.26,,A flat major,1834,1918
229,Ⅳb-8,Nocturne,,C minor,1847,1938
230,Ⅳb-9,Chant,Reverie,A minor,1840,1910
231,Ⅳb-10,Sostenuto,,E flat major,1840,1910
232,Ⅳb-11,Waltz ,,A minor,1847,1955
233,Ⅳb-12,Moderato,,E major,1843,1910
234,Ⅳb-13,Galop,,A flat major,1846,
235,Ⅳc-1,Canon at the octave,,F minor,1839,1957
236,Ⅳc-2,Fuga,,A minor,1841-1842,1898
237,Ⅶa-1,Casta diva from Norma by Bellini ,,E major,1831,
238,Ⅶa-2,3 Fugues de Luigi Cherubini,,A minor,,
239,,3 Fugues de Luigi Cherubini,,F major,,
240,,3 Fugues de Luigi Cherubini,,D minor,,
241,Ⅶb-1,2 Bourrees No.1,,G major,1846,
242,Ⅶb-2,2 Bourrees No.2,,A major,1846,
243,Anh.Ia-1,Mazurka,,D major,1820,1910
244,Anh.Ia-2,Prelude ,,F major,1845,1928
245,Anh.Ia-3,Andantino ,,D minor,1845,1928
246,Anh.Ia-4,Contredanse ,,G flat major,1827,1934
247,Anh.Ia-5,"Variations pour flute et piano sur l'air de ""Cendrillon"" de Rossini",,E major,1824,1959
248,Anh.Ia-6,Nocturne,,C sharp minor,,1959
249,Anh.Ia-7,Waltz ,,F sharp minor,,1932
250,Anh.Ia-8,Mazurka,,B flat minor,,1959
